sample	drug_raw	drug	dose	exp	run	replicate	condition	is_control	is_timezero
Caboza4_010u_exp181021_run251121_40	Caboza4	Caboza	010u	exp181021	run251121	4	Caboza_010u	False	False
CGP5731_010u_exp181021_run251121_41	CGP5731	CGP573	010u	exp181021	run251121	1	CGP573_010u	False	False
CGP5732_010u_exp181021_run251121_42	CGP5732	CGP573	010u	exp181021	run251121	2	CGP573_010u	False	False
CGP5733_010u_exp181021_run251121_43	CGP5733	CGP573	010u	exp181021	run251121	3	CGP573_010u	False	False
CGP5734_010u_exp181021_run251121_44	CGP5734	CGP573	010u	exp181021	run251121	4	CGP573_010u	False	False
eFT5081_025u_exp181021_run251121_45	eFT5081	eFT508	025u	exp181021	run251121	1	eFT508_025u	False	False
eFT5082_025u_exp181021_run251121_46	eFT5082	eFT508	025u	exp181021	run251121	2	eFT508_025u	False	False
eFT5083_025u_exp181021_run251121_47	eFT5083	eFT508	025u	exp181021	run251121	3	eFT508_025u	False	False
eFT5084_025u_exp181021_run251121_48	eFT5084	eFT508	025u	exp181021	run251121	4	eFT508_025u	False	False
Contro1_000u_exp151121_run071221_01	Contro1	Contro	000u	exp151121	run071221	1	control	True	False
Contro2_000u_exp151121_run071221_02	Contro2	Contro	000u	exp151121	run071221	2	control	True	False
Contro3_000u_exp151121_run071221_03	Contro3	Contro	000u	exp151121	run071221	3	control	True	False
Contro4_000u_exp151121_run071221_04	Contro4	Contro	000u	exp151121	run071221	4	control	True	False
Tramet1_040n_exp151121_run071221_05	Tramet1	Tramet	040n	exp151121	run071221	1	Tramet_040n	False	False
Tramet2_040n_exp151121_run071221_06	Tramet2	Tramet	040n	exp151121	run071221	2	Tramet_040n	False	False
Tramet3_040n_exp151121_run071221_07	Tramet3	Tramet	040n	exp151121	run071221	3	Tramet_040n	False	False
Tramet4_040n_exp151121_run071221_08	Tramet4	Tramet	040n	exp151121	run071221	4	Tramet_040n	False	False
U0126E1_030u_exp151121_run071221_09	U0126E1	U0126E	030u	exp151121	run071221	1	U0126E_030u	False	False
U0126E2_030u_exp151121_run071221_10	U0126E2	U0126E	030u	exp151121	run071221	2	U0126E_030u	False	False
U0126E3_030u_exp151121_run071221_11	U0126E3	U0126E	030u	exp151121	run071221	3	U0126E_030u	False	False
U0126E4_030u_exp151121_run071221_12	U0126E4	U0126E	030u	exp151121	run071221	4	U0126E_030u	False	False
Gefiti1_002u_exp151121_run071221_13	Gefiti1	Gefiti	002u	exp151121	run071221	1	Gefiti_002u	False	False
Gefiti2_002u_exp151121_run071221_14	Gefiti2	Gefiti	002u	exp151121	run071221	2	Gefiti_002u	False	False
Gefiti3_002u_exp151121_run071221_15	Gefiti3	Gefiti	002u	exp151121	run071221	3	Gefiti_002u	False	False
Gefiti4_002u_exp151121_run071221_16	Gefiti4	Gefiti	002u	exp151121	run071221	4	Gefiti_002u	False	False
PROTAC1_010u_exp151121_run071221_17	PROTAC1	PROTAC	010u	exp151121	run071221	1	PROTAC_010u	False	False
PROTAC2_010u_exp151121_run071221_18	PROTAC2	PROTAC	010u	exp151121	run071221	2	PROTAC_010u	False	False
PROTAC3_010u_exp151121_run071221_19	PROTAC3	PROTAC	010u	exp151121	run071221	3	PROTAC_010u	False	False
PROTAC4_010u_exp151121_run071221_20	PROTAC4	PROTAC	010u	exp151121	run071221	4	PROTAC_010u	False	False
RAF2651_005u_exp151121_run071221_21	RAF2651	RAF265	005u	exp151121	run071221	1	RAF265_005u	False	False
RAF2652_005u_exp151121_run071221_22	RAF2652	RAF265	005u	exp151121	run071221	2	RAF265_005u	False	False
RAF2653_005u_exp151121_run071221_23	RAF2653	RAF265	005u	exp151121	run071221	3	RAF265_005u	False	False
RAF2654_005u_exp151121_run071221_24	RAF2654	RAF265	005u	exp151121	run071221	4	RAF265_005u	False	False
CCT1961_001u_exp151121_run071221_25	CCT1961	CCT196	001u	exp151121	run071221	1	CCT196_001u	False	False
CCT1962_001u_exp151121_run071221_26	CCT1962	CCT196	001u	exp151121	run071221	2	CCT196_001u	False	False
CCT1963_001u_exp151121_run071221_27	CCT1963	CCT196	001u	exp151121	run071221	3	CCT196_001u	False	False
CCT1964_001u_exp151121_run071221_28	CCT1964	CCT196	001u	exp151121	run071221	4	CCT196_001u	False	False
LY30091_003u_exp151121_run071221_29	LY30091	LY3009	003u	exp151121	run071221	1	LY3009_003u	False	False
LY30092_003u_exp151121_run071221_30	LY30092	LY3009	003u	exp151121	run071221	2	LY3009_003u	False	False
LY30093_003u_exp151121_run071221_31	LY30093	LY3009	003u	exp151121	run071221	3	LY3009_003u	False	False
LY30094_003u_exp151121_run071221_32	LY30094	LY3009	003u	exp151121	run071221	4	LY3009_003u	False	False
Sorafe1_005u_exp151121_run071221_33	Sorafe1	Sorafe	005u	exp151121	run071221	1	Sorafe_005u	False	False
Sorafe2_005u_exp151121_run071221_34	Sorafe2	Sorafe	005u	exp151121	run071221	2	Sorafe_005u	False	False
